Issue_Level_1_客訴故障現象,正規化,Issue_Level_2_分析看到現象,Issue_Level_2_分析看到現象_正規化,Issue_Level_7_損壞原因,Issue_Level_7_損壞原因_正規化
DC53、DC3鼓包,"DC53,DC3鼓包",UP鍵斷裂,UP按鍵損壞,"DR58電阻炸、IGBT擊穿、DD22,DD23整流擊穿","DR58電阻炸裂,IGBT擊穿,DD22擊穿,DD23整流擊穿"
"DC53,DC3鼓包R254,R255燒","DC53,DC3鼓包R254,R255燒毀",USB上電面板無顯示,USB上電無顯示,DR58電阻炸、IGBT擊穿、DD22整流擊穿,"DR58電阻炸裂,IGBT擊穿,DD22整流擊穿"
DC53鼓包,DC53鼓包,"USB上電無顯示,X1除膠後讀數正常","USB上電無顯示,X1除膠後讀數正常","DR58電阻炸、IGBT擊穿、DD22整流擊穿、DR37,DD14,DZD3,DC41損壞","DR58電阻炸裂,IGBT擊穿,DD22整流擊穿,DR37,DD14,DZD3,DC41損壞"
"DC53鼓包,回生電阻Open","DC53鼓包,回生電阻OPEN",USB上電顯示Read only,USB上電顯示READ ONLY,"DR58電阻炸、IGBT擊穿、DU2,DU5短路","DR58電阻炸裂,IGBT擊穿,DU2,DU5SHORT"
DC58電容短路,DC58電容SHORT,"USB口連不上,ZD11擊穿","USB口連不上,ZD11擊穿",DR58電阻炸、IGBT擊穿、軟起電阻過熱,"DR58電阻炸裂,IGBT擊穿,軟起電阻過熱"
DC62打件偏移,DC62打件偏移,"USB剛上電顯示,一會又無顯示",USB上電無顯示,"DR58燒，DD22,DD23擊穿，IGBT炸","DR58燒毀,DD22擊穿,DD23擊穿,IGBT炸裂"
"DC75,DC76連錫","DC75,DC76連錫",USB通訊不良,USB通訊異常,DR58燒，DD22擊穿，IGBT擊穿,"DR58燒毀,DD22擊穿,IGBT擊穿"
"DC81,DC82,DC83,DC84電容鼓包","DC81,DC82,DC83,DC84電容鼓包","USB通訊無法找到COM口 ,.D-對DGND短路,3.3V對DGND低阻抗","USB通訊無法找到COM口,D-對DGND SHORT,3.3V對DGND低阻抗",DR58燒毀,DR58燒毀
DC81、DC3鼓包,"DC81,DC3鼓包",usb連不上電腦、通訊不了,USB通訊異常,DR58燒毀，附近銅箔損壞，IGBT炸，DQ2擊穿，DD22和DD23擊穿,"DR58燒毀,附近銅箔損壞,IGBT炸裂,DQ2擊穿,DD22擊穿,DD23擊穿"
DC81、DC82、DC83、DC3鼓包,"DC81,DC82,DC83,DC3鼓包",USB無法啓動,USB無法啓動,DR58燒毀，附近銅箔翹皮，IGBT炸，DQ2擊穿,"DR58燒毀,附近銅箔翹皮,IGBT炸裂,DQ2擊穿"
"DC81、DC82、DC83、DC3鼓包,DD22、DD23擊穿","DC81,DC82,DC83,DC3鼓包,DD22,DD23擊穿",USB無法通訊,USB通訊異常,DRLY2處錫渣短路,DRLY2處錫渣SHORT
DC81、DC82、DC83、DC84鼓包,"DC81,DC82,DC83,DC84鼓包",USB無法識別,USB無法識別,DSP GND PAD沒有錫,DSP GND PAD沒有錫
DC81、DC82、DC83鼓包,"DC81,DC82,DC83鼓包","USB電路ZD16燒壞,ZD11 open,DSP 3.3V對GND短路","USB電路ZD16燒壞,ZD11 OPEN,DSP 3.3V對GND SHORT",DSP、L1、軟起電阻燒壞，刹車電阻開路,"DSP,L1,軟起電阻燒毀,刹車電阻開路"
DC81、DC82鼓包,"DC81,DC82鼓包",USB端口退PIN,USB端口退PIN,DSP_CLK腳位低阻抗,DSP_CLK腳位低阻抗
DC81、DC83、DC3鼓包,"DC81,DC83,DC3鼓包",USB端子PIN1無綫尾,USB端子PIN1無綫尾,DSP-dsp_USB0_DM對GND低阻抗65Ω,DSP-dsp_USB0_DM對GND低阻抗65Ω
"DC81、DC83鼓包,DR28燒壞,Relay熔損","DC81,DC83鼓包,DR28燒毀,Relay熔損",USB端子粘膠,USB端子粘膠,DSP工作异常,DSP工作異常
DC81、DC83鼓包、DR28損壞,"DC81,DC83鼓包,DR28損壞",USB端+A1129:A1134口退PIN,USB端+A1129:A1134口退PIN,DSP污染,DSP污染
"DC81和DC3鼓包,整流子DD22、DD23擊穿","DC81和DC3鼓包,整流子DD22,DD23擊穿","UVW下橋short,軟起電阻燒","UVW下橋SHORT,軟起電阻燒",DSP損壞,DSP損壞
DC81鼓包,DC81鼓包,"UVW下橋擊穿,W上橋開路","UVW下橋擊穿,W上橋開路","DSP損壞/ZD20，R202,R203,R204燒，U25短路","DSP損壞,ZD20,R202,R203,R204燒毀,U25 SHORT"
DC82、DC3鼓包,"DC82,DC3鼓包",UVW异常,UVW異常,DSP擊穿,DSP擊穿
DC82、DC3鼓包、DD22擊穿,"DC82,DC3鼓包,DD22擊穿","UVW相間short,對P,N open","UVW相間SHORT,對P,N OPEN",DT1打火，DR1開裂損壞，DD1擊穿,"DT1打火,DR1開裂,DD1擊穿"
DC82、DC83、DC3鼓包,"DC82,DC83,DC3鼓包","UVW相間短路,對P短路","UVW相間SHORT,對P SHORT",DTB1漏焊,DTB1漏焊
DC82、DC83、DC84、DC3鼓包,"DC82,DC83,DC84,DC3鼓包",UVW無輸出,UVW無輸出,DU1炸裂,DU1炸裂裂
"DC82、DC83、DC84、DC3鼓包,DR58炸,IGBT炸","DC82,DC83,DC84,DC3鼓包,DR58炸,IGBT炸",UVW間斷性不良,UVW間斷性不良,DU1焊錫不良,DU1焊錫不良
"DC82、DC83鼓包,控制板爲AB機,C128碎件","DC82,DC83鼓包,控制板爲AB機,C128碎件","UVW對N擊穿,IGBT炸裂,DR58燒壞","UVW對N擊穿,IGBT炸裂,DR58燒壞",DU1燒壞，變壓器有打火痕跡，導熱rubber上有異物,"DU1燒毀,變壓器有打火痕跡,導熱rubber上有異物"
"DC82、DC84、DC3鼓包,軟起電阻DR28 Open","DC82,DC84,DC3鼓包,軟起電阻DR28,OPEN",UVW對PN擊穿,UVW對PN擊穿,DU1擊穿,DU1擊穿
DC82和DC3鼓包,DC82和DC3鼓包,"UV下橋short,軟起電阻DR28 open,DR58燒損","UV下橋SHORT,軟起電阻DR28 OPEN,DR58燒損",DU1擊穿，DD1擊穿，DR1開裂損壞，DT1打火,"DU1擊穿,DD1擊穿,DR1開裂損壞,DT1打火"
"DC82和DC3鼓包,整流子DD22擊穿","DC82和DC3鼓包,整流子DD22擊穿","UV對PN擊穿,PR擊穿,DR58炸","UV對PN擊穿,PR擊穿,DR58炸","DU1擊穿，DD1擊穿，DR1開裂損壞，DT1打火,IGBT控制側擊穿，刹車晶體擊穿，銅箔翹皮","DU1擊穿,DD1擊穿,DR1開裂損壞,DT1打火,IGBT控制側擊穿,刹車晶體擊穿,銅箔翹皮"
DC82鼓包,DC82鼓包,"UV對P特徵正常,W對P,N open,UV之間阻抗異常","UV對P特徵正常,W對P,N OPEN,UV之間阻抗異常",DU1擊穿，DR4打火，DT1 打火，DR1燒壞,"DU1擊穿,DR4打火,DT1 打火,DR1燒毀"
DC83、DC3鼓包,"DC83,DC3鼓包",U上short,U上SHORT,DU1擊穿，DR4打火，DT1 打火，DR1燒壞，DD1擊穿,"DU1擊穿,DR4打火,DT1 打火,DR1燒毀,DD1擊穿"
"DC83電容鼓包,DC3電容鼓包,DD22擊穿,DR28短路","DC83電容鼓包,DC3電容鼓包,DD22擊穿,DR28 SHORT",U上橋擊穿,U上橋擊穿,DU1擊穿炸裂，DR4打火，DT1 PIN2熔斷,"DU1擊穿,DR4打火,DT1 PIN2熔斷"
DC83鼓包,DC83鼓包,U相上橋短路,U相上橋SHORT,DU2短路,DU2SHORT
"DC83鼓包,整流子DD22、DD23擊穿,銅箔斷,Relay上電不切","DC83鼓包,整流子DD22,DD23擊穿,銅箔斷,Relay上電不切",U相對P短路,U相對P SHORT,DVAR1損壞，R相銅箔炸斷，DD22擊穿，DPM1損壞,"DVAR1損壞,R相銅箔炸裂斷,DD22擊穿,DPM1損壞"
"DC83鼓包,整流子DD22和DD23擊穿,DU1PIN腳熔斷","DC83鼓包,整流子DD22和DD23擊穿,DU1PIN腳熔斷",U相端子螺絲受外力損壞,U端子_螺絲損壞,DZD13有反向漏電流,DZD13有反向漏電流
DC83鼓包、DR28損壞,"DC83鼓包,DR28損壞",U相端子螺絲損壞,U端子_螺絲損壞,DZD3異常,DZD3異常
"DC83鼓包、R對N,ST對P短路","DC83鼓包,R對N,ST對P SHORT",U相螺絲針部損壞,U端子_螺絲損壞,DZD4燒壞擊穿,DZD4擊穿
"DC84、DC3鼓包,DD22擊穿","DC84,DC3鼓包,DD22擊穿",U相螺絲無法旋入旋出,U端子_螺絲滑牙,DZD5擊穿,DZD5擊穿
"DC84鼓包,軟起電阻DR28 Open,回聲電阻Open","DC84鼓包,軟起電阻DR28,OPEN,回聲電阻OPEN",U相螺絲滑牙,U端子_螺絲滑牙,DZD6擊穿,DZD6擊穿
DC84鼓包、軟起電阻DR28 Open,"DC84鼓包,軟起電阻DR28,OPEN",U相螺絲擰不開,U端子_螺絲滑牙,DZD9擊穿,DZD9擊穿
DC9异常,DC9异常,u項缺項,U項缺項,eeprom 資料錯誤,eeprom 資料錯誤
DC9折脚,DC9折脚,u項短路,U項 SHORT,Encoder ground trace熔斷,Encoder ground trace熔斷
DC9撞件,DC9撞件,U對P短路,U對P SHORT,Encoder無法通訊,Encoder無法通訊
DC9戳破,DC9戳破,U對P擊穿,U對P擊穿,encoder端子的銅箔損壞,encoder端子的銅箔損壞
"DCBUS電容鼓包,整流子擊穿","DCBUS電容鼓包,整流子擊穿",U螺絲端子擰不出來也擰不緊,U端子_螺絲滑牙,FPGA燒壞,FPGA燒毀
"DC-DC電路U24 IC燒毀,RS485電路U9 IC燒壞","DC-DC電路U24,IC燒毀,RS485電路U9,IC燒毀","varistor打火,整流子擊穿,IGBT損壞","VARISTOR打火,整流子擊穿,IGBT損壞",HSK接地螺紋外力損壞,HSK接地螺紋外力損壞
DC-DC電路重工不良,DC-DC電路重工不良,VARISTOR炸,VARISTOR炸,HSK螺絲孔斷裂,HSK螺絲孔斷裂
DC插反向,DC插反向,"VARISTOR炸,DR28燒壞,DC52鼓包,DC3鼓包","VARISTOR炸,DR28燒壞,DC52鼓包,DC3鼓包",IC輸出脚位過電壓擊穿,IC輸出脚位過電壓擊穿
"DD1擊穿,","DD1擊穿,",VBUS電壓偏高,VBUS電壓偏高,IGBT  W對P擊穿,IGBT  W對P擊穿
"DD22 Short,DD23 Short,R通道trace熔斷,T通達trace熔斷","DD22,SHORT,DD23,SHORT,R通道trace熔斷,T通達trace熔斷",V-BUS電壓異常為12V,V-BUS電壓異常為12V,IGBT 16PIN 漏焊,IGBT 16PIN 漏焊
"DD22,DD23擊穿,","DD22,DD23擊穿,",V上橋擊穿,V上橋擊穿,IGBT 16PIN(COM)對8PIN(VCCH) 擊穿,IGBT 16PIN(COM)對8PIN(VCCH) 擊穿
"DD22,DD23擊穿,DR58炸裂,IGBT炸裂","DD22,DD23擊穿,DR58炸裂,IGBT炸裂",V下橋無輸出,V下橋無輸出,IGBT 20PIN(COM)對17PIN(VCCL)短路,IGBT 20PIN(COM)對17PIN(VCCL)SHORT
DD22、DD23打火,"DD22,DD23打火",V相上橋短路,V相上橋SHORT,IGBT com脚打火,IGBT com脚打火
"DD22、DD23擊穿,DC82鼓包","DD22,DD23擊穿,DC82鼓包",V相輸出缺相,V相輸出缺相,IGBT N脚打火,IGBT N脚打火
"DD22、DD23擊穿,IGBT U對P擊穿","DD22,DD23擊穿,IGBT,U對P擊穿","V對PN斷開,PW,UN擊穿,DR58炸,軟起壞","V對PN斷開,PW,UN擊穿,DR58炸,軟起壞",IGBT PIN13~19漏焊,IGBT PIN13~19漏焊
"DD22、DQ2、IGBT擊穿,剎車晶體和P點有打火,Relay 損壞","DD22,DQ2,IGBT擊穿,剎車晶體和P點有打火,Relay,損壞",V對P特性short,V對P SHORT,IGBT PIN13~21漏焊,IGBT PIN13~21漏焊
DD22打火,DD22打火,V對P短路,V對P SHORT,IGBT PIN19漏焊,IGBT PIN19漏焊
"DD22整流子R與HSK之間跳火,但是單獨量測跳火PIN的管壓降正常,與之對應的二極管幷未損壞","DD22整流子R與HSK之間跳火,但是單獨量測跳火PIN的管壓降正常,與之對應的二極管幷未損壞",V對P擊穿,V對P擊穿,IGBT PIN20、21漏焊,"IGBT PIN20,21漏焊"
"DD22整流子處跳火幷擊穿,IGBT跳火炸裂,DR58阻抗增大","DD22整流子處跳火幷擊穿,IGBT跳火炸裂,DR58阻抗增大","V對P擊穿,UVW對N擊穿","V對P擊穿,UVW對N擊穿",IGBT PIN20~21漏焊,IGBT PIN20~21漏焊
"DD22整流子擊穿（RS對N擊穿）,檢查剎車晶體E極與HSK之間存在跳火","DD22整流子擊穿（RS對N擊穿）,檢查剎車晶體E極與HSK之間存在跳火",V端子滑牙,V端子_螺絲滑牙,IGBT PIN22 V相下橋E極漏焊,IGBT PIN22 V相下橋E極漏焊
"DD22擊穿,IGBT P腳熔斷,本體炸裂,DU5有發熱痕跡,5VD_GD短路,DPH16、DPH7、DPH8、DPH9均損壞","DD22擊穿,IGBT,P腳熔斷,本體炸裂,DU5有發熱痕跡,5VD_GD SHORT,DPH16,DPH7,DPH8,DPH9均損壞",W上橋高溫輸出缺相,W上橋高溫輸出缺相,IGBT PIN26（W)漏焊，背面炸裂,"IGBT PIN26（W)漏焊,背面炸裂裂"
"DD22擊穿,IGBT炸","DD22擊穿,IGBT炸",W上橋擊穿,W上橋擊穿,IGBT PIN3 對PIN13擊穿,IGBT PIN3 對PIN13擊穿
"DD22擊穿,有污染腐蝕","DD22擊穿,有污染腐蝕",W相上橋短路,W相上橋SHORT,IGBT PIN7擊穿,IGBT PIN7擊穿
"DD22擊穿,與varistor相連銅箔熔斷","DD22擊穿,與varistor相連銅箔熔斷","W相端子滑牙,UW相端子附近塑膠外力損壞","W端子_螺絲滑牙,UW端子附近塑膠外力損壞",IGBT PIN上粘錫絲,IGBT PIN上黏錫絲
"DD22擊穿,輸入端子熔損","DD22擊穿,輸入端子熔損",W相端子螺絲損壞,W端子_螺絲損壞,IGBT PIN脚鐵屑污染,IGBT PIN脚鐵屑污染
"DD22擊穿,輸入銅箔熔損","DD22擊穿,輸入銅箔熔損",W相螺絲卡死,W端子_螺絲損壞,IGBT PIN腳上有錫渣,IGBT PIN腳上有錫渣
"DD23,DD22擊穿","DD23,DD22擊穿",W相螺絲斷,W端子_螺絲損壞,IGBT PIN腳錫短,IGBT PIN腳錫短
DD23、DD22的正負極針腳打火,"DD23,DD22的正負極針腳打火","W對P,N開路","W對P,N開路",IGBT PV阻抗异常，控制測焊錫异常，私自維修,"IGBT PV阻抗异常,控制測焊錫异常,私自維修"
DD23擊穿,DD23擊穿,W對P擊穿,W對P擊穿,IGBT u-p擊穿,IGBT u-p擊穿
DD2打火,DD2打火,W螺絲滑牙,W端子_螺絲滑牙,"IGBT UVW上橋OPEN,下橋擊穿，整流子RS對N 擊穿，T脚燒斷，DR58炸","IGBT UVW上橋OPEN,下橋擊穿,整流子RS對N 擊穿,T脚燒斷,DR58炸裂"
DD7撞件,DD7撞件,X1電路DSP_CLK測點對DGND只有1.8kohm,X1電路DSP_CLK測點對DGND只有1.8kohm,IGBT UVW上橋擊穿,IGBT UVW上橋擊穿
DHP14焊錫不良,DHP14焊錫不良,"X軸傳感器I,O接觸不良",I/O異常,IGBT UVW上橋擊穿，W下橋open，整流子RS對P擊穿，DR58炸,"IGBT UVW上橋擊穿,W下橋OPEN,整流子RS對P擊穿,DR58炸裂"
"DI8輸入限流電阻R224燒壞,DGND-AGND之間的電阻R222燒壞,電源系統全部擊穿","DI8輸入限流電阻R224燒毀,DGND-AGND之間的電阻R222燒毀,電源系統全部擊穿",Y軸方向不能動,Y軸方向不能動,IGBT UVW對N short,IGBT UVW對N SHORT
DJ1、DTB1沾UV膠,"DJ1,DTB1沾UV膠",Y軸報警AL085,Y軸AL085,IGBT U上橋短路,IGBT U上橋SHORT
DJ1偏斜沾膠,DJ1偏斜沾膠,Y軸驅動器輸出短路,Y軸驅動器輸出SHORT,IGBT U上橋擊穿,IGBT U上橋擊穿
DJ1接觸不良,DJ1接觸不良,ZD16的5VD_USB與DGND低阻抗249.5Ω,ZD16的5VD_USB與DGND低阻抗249.5Ω,IGBT U上橋擊穿，DQ2擊穿，回生電阻open,"IGBT U上橋擊穿,DQ2擊穿,回生電阻OPEN"
DJ1粘膠,DJ1粘膠,ZD16擊穿,ZD16擊穿,IGBT U上橋擊穿，DR28燒開路,"IGBT U上橋擊穿,DR28燒開路"
DJ1連接端子有錫渣,DJ1連接端子有錫渣,ZD19、ZD20損壞,"ZD1,ZD20損壞",IGBT U上橋擊穿，軟起燒壞,"IGBT U上橋擊穿,軟起燒毀"
DMCNET通訊异常,DMCNET通訊异常,ZD20燒,ZD20燒毀,IGBT U下橋擊穿，PR擊穿，DR58炸,"IGBT U下橋擊穿,PR擊穿,DR58炸裂"
DMCNET無法通訊,DMCNET無法通訊,ZD614擊穿,ZD614擊穿,IGBT U相上橋擊穿,IGBT U上橋擊穿
DMC連接異常,DMC連接異常,Z軸009報警,Z軸AL009,IGBT U對P短路,IGBT U對PSHORT
DO1一直有輸出,DO1輸出異常,Z軸負載大,Z軸負載大,"IGBT U對P開路,W對P短路","IGBT U對P開路,W對P SHORT"
DO1一直輸出,DO1輸出異常,Z軸高度變化,Z軸高度變化,IGBT U對P擊穿,IGBT U對P擊穿
DO1不良,DO1異常,Z軸壞,Z軸壞,IGBT U對P擊穿，整流子DD22、DD23擊穿,"IGBT U對P擊穿,整流子DD22,DD23擊穿"
DO1異常,DO1異常,一上電就跳閘,上電後異常,IGBT VW擊穿,IGBT VW擊穿
DO1測試不過,DO1異常,"一上電就跳閘									",上電後異常,IGBT V上橋擊穿,IGBT V上橋擊穿
DO1無輸出,DO1異常,一直報AL011,AL011,IGBT V對N擊穿，U對P擊穿，軟起電阻DR28 Open,"IGBT V對N擊穿,U對P擊穿,軟起電阻DR28 OPEN"
"DO1擊穿,輸出异常",DO1異常,一直報電容充電异常,電容充電異常,IGBT V對P短路,IGBT V對PSHORT
DO2.3口壞,"DO2異常,DO3異常",一直報警,報警,IGBT V對P擊穿,IGBT V對P擊穿
DO2.3壞,"DO2異常,DO3異常",一直報警al521需要檢修,AL521,IGBT W上橋擊穿,IGBT W上橋擊穿
DO3異常,DO3異常,一直斷電重啓,一直斷電重啓,IGBT W相下橋擊穿,IGBT W下橋擊穿
DO3壞,DO3異常,一通電就報警,一通電就報警,IGBT W對P 短路,IGBT W對PSHORT
DO5端子無反應,DO5異常,"二次返修,開集極脉衝方式運行异常,反轉無響應","二次返修,開集極脉衝方式運行异常,反轉無響應",IGBT W對P短路,IGBT W對PSHORT
DO5輸出燒了,DO5異常,"二次返修,顯示屏不亮,要求換新","二次返修,顯示屏不亮,要求換新",IGBT W對P短路。,IGBT W對PSHORT
"DO功能正常,帶馬達運轉正常","DO功能正常,帶馬達運轉正常",二極管未去除,二極管未去除,IGBT 下橋控制側擊穿,IGBT 下橋控制側擊穿
DO無輸出,DO異常,刀紋,刀紋,IGBT 本體炸,IGBT 本體炸裂
DO電路二極管未移除,DO電路二極管未移除,刀紋象限點不行,刀紋象限點不行,IGBT 炸，PIN腳有打火,"IGBT 炸裂,PIN腳有打火"
DO輸出异常,DO異常,力矩控制模式有問題,力矩控制模式有問題,IGBT 控制側損壞,IGBT 控制側損壞
DO點壞,DO異常,三相輸出故障,三相輸出故障,IGBT 控制側擊穿,IGBT 控制側擊穿
DPH15 PIN4-5-6短路,"DPH15,PIN4,5,6 SHORT",上不了電 斷電,上電後異常,IGBT 整流子及DR58損壞,IGBT 整流子及DR58損壞
DPH15撞件,DPH15撞件,上電 無顯示,上電後異常,IGBT 擊穿，relay損壞,"IGBT 擊穿,relay損壞"
DPH16 PIN腳歪,"DPH16,PIN腳歪",上電01報警,AL001,"IGBT,DR58,DD22,DD23損壞","IGBT,DR58,DD22,DD23損壞"
DPH16PIN接觸不良,"DPH16,PIN腳接觸不良",上電1分鐘左右呈現死機狀態,上電1分鐘左右呈現死機狀態,IGBT、DD22擊穿,"IGBT擊穿,DD22擊穿"
"DPH16PIN接觸不良,錫量少。","DPH16,PIN腳接觸不,錫量少",上電3小時後死機,上電3小時後死機,IGBT_PIN20(COM)對PIN7(VB(W))擊穿,IGBT_PIN20(COM)對PIN7(VB(W))擊穿
DPH16打件歪斜,DPH16打件歪斜,上電5分鐘左右呈現死機狀態,上電5分鐘左右呈現死機狀態,igbt11/12上有錫片短路,igbt11/12上有錫片SHORT
DPH16吃錫不良,DPH16焊錫不良,上電5分鐘報警AL011 需要檢測報告,AL011,IGBT-16PININ(LW)對17PIN(VCCL)連錫,IGBT-16PININ(LW)對17PIN(VCCL)連錫
DPH16焊錫不良,DPH16焊錫不良,"上電AL06,VUS讀值15V,5V短路,上橋驅動光耦二次側5V均短路,U-P open","上電AL06,VUS讀值15V,5V短路,上橋驅動光耦二次側5V均短路,U-P open",IGBT-U相PIN脚漏焊,IGBT-U相PIN脚漏焊
DPH16損壞,DPH16損壞,上電DSP有嘶嘶的聲音,上電DSP有異音,IGBT-V相對P擊穿,IGBT-V相對P擊穿
DPH4 PIN4接觸不良,"DPH4,PIN腳接觸不良","上電一段時間後死機,無顯示",上電無顯示,IGBT上下橋UW對P/N短路,IGBT上下橋UW對P/NSHORT
"DPH4反向,R相欠相","DPH4反向,R相欠相","上電一段時間後面板卡住,再次上電無顯示",上電無顯示,IGBT上下橋臂短炸機,IGBT上下橋臂短炸裂機
DPH4光耦打反件,DPH4光耦打反件,上電一段時間後無反應,上電無顯示,IGBT打火，DR58熔斷,"IGBT打火,DR58熔斷"
DPH7連錫,DPH7連錫,上電一段時間無顯示,上電無顯示,IGBT打火，DR58熔斷，DD22擊穿,"IGBT打火,DR58熔斷,DD22擊穿"
DPH9光耦PIN斷,DPH9光耦PIN斷,上電十幾分鐘後跳閘冒烟,上電後異常,IGBT打火，DR58熔斷，DR57,"IGBT打火,DR58熔斷,DR57"
DQ2、DD15、DR28燒毀,"DQ2,DD15,DR28燒毀",上電不亮,上電後異常,IGBT刹車晶體擊穿,IGBT刹車晶體擊穿
DQ2打火,DQ2打火,上電不顯示,上電後異常,IGBT和DD22擊穿,"IGBT擊穿,DD22擊穿"
"DQ2打火,內置回生電阻損壞","DQ2打火,內置回生電阻損壞","上電不顯示,3.3V電路輸出异常","上電無顯示,3.3V電路輸出异常",IGBT炸,IGBT炸裂
"DQ2打火,剎車電阻燒","DQ2打火,剎車電阻燒毀","上電不顯示,內部進水腐蝕","上電無顯示,內部進水腐蝕",IGBT炸 上橋斷，U對N 短,"IGBT炸裂,上橋斷,U對N SHORT"
"DQ2燒壞,回升電阻open","DQ2燒毀,回升電阻OPEN",上電半小時左右呈現死機狀態,上電半小時左右呈現死機狀態,IGBT炸，DD22擊穿,"IGBT炸裂,DD22擊穿"
"DQ2燒壞,回升電阻open,軟起電阻有發熱痕迹","DQ2燒毀,回升電阻OPEN,軟起電阻有發熱痕迹",上電可以顯示,上電正常顯示,IGBT炸，DD22擊穿，DR28燒壞,"IGBT炸裂,DD22擊穿,DR28燒毀"
DQ2擊穿,DQ2擊穿,上電正常顯示,上電正常顯示,IGBT炸，DD22擊穿，DR28燒壞，,"IGBT炸裂,DD22擊穿,DR28燒毀"
"DQ2擊穿,IGBT打火,DR38,DR46打火,有維修痕迹","DQ2擊穿,IGBT打火,DR38,DR46打火,有維修痕迹","上電正常顯示,無异常,油污污染明顯","上電正常顯示,無异常,油污污染明顯",IGBT炸，DD22擊穿，DR28燒壞，DZD8擊穿,"IGBT炸裂,DD22擊穿,DR28燒毀,DZD8擊穿"
"DQ2擊穿,軟起電阻和剎車電阻燒壞","DQ2擊穿,軟起電阻和剎車電阻燒毀",上電有异響,上電後異常,IGBT炸，DQ2和DZD8擊穿,"IGBT炸裂,DQ2和DZD8擊穿"
"DQ2擊穿,軟起燒壞","DQ2擊穿,軟起燒毀",上電伺服打火,上電伺服打火,IGBT炸，DR28燒,"IGBT炸裂,DR28燒"
DQ2擊穿燒壞,DQ2擊穿燒毀,上電我顯示,上電後異常,IGBT炸，DR42炸，DD22擊穿,"IGBT炸裂,DR42炸裂,DD22擊穿"
"DR1 open,DD1擊穿","DR1,OPEN,DD1擊穿",上電沒反應,上電後異常,IGBT炸，DR58、DR28燒毀,"IGBT炸裂,DR58,DR28燒毀"
DR1裂,DR1開裂損壞,上電沒反應要分析報告,上電後異常,IGBT炸，DR58炸,"IGBT炸裂,DR58炸裂"
DR1開裂損壞,DR1開裂損壞,上電沒有反應,上電後異常,IGBT炸，DR58炸，DD22擊穿,"IGBT炸裂,DR58炸裂,DD22擊穿"
"DR1開裂損壞,DC3短路,DD3有過熱痕跡","DR1開裂損壞,DC3 SHORT,DD3有過熱痕跡",上電沒顯示,上電後異常,IGBT炸，DR58炸，剎車晶體擊穿，銅箔燒壞,"IGBT炸裂,DR58炸裂,剎車晶體擊穿,銅箔燒毀"
"DR1開裂損壞,DD1擊穿","DR1開裂損壞,DD1擊穿",上電使能AL001,上電後報AL001,IGBT炸，DR58燒、DQ2擊穿,"IGBT炸裂,DR58燒毀,DQ2擊穿"
"DR1開裂損壞,DD1擊穿,DT1和DR4打火,量測線圈正常,DU2過熱損壞,IGBT PIN腳之間和導熱rubber上粘有異物,用磁鐵可吸附","DR1開裂損壞,DD1擊穿,DT1和DR4打火,量測線圈正常,DU2過熱損壞,IGBT,PIN腳之間和導熱rubber上粘有異物,用磁鐵可吸附",上電使能後報AL022,上電後報AL022,IGBT炸，DR58燒斷，附近銅箔損壞,"IGBT炸裂,DR58燒毀,附近銅箔損壞"
DR1損壞,DR1損壞,上電使能電機振動异響,上電使能電機振動异響,IGBT炸，DU5 GND對VOUT 擊穿,"IGBT炸裂,DU5 GND對V OUT 擊穿"
"DR1燒,DD1擊穿,DC3微鼓包","DR1燒毀,DD1擊穿,DC3微鼓包",上電兩分鈡左右呈現死機狀態,上電死機狀態,IGBT炸，DU5過熱，DPH16擊穿,"IGBT炸裂,DU5過熱,DPH16擊穿"
"DR1燒壞,DC3短路,上電端子RS相有打火痕迹","DR1燒毀,DC3 SHORT,上電端子RS相有打火痕迹",上電冒烟,上電冒烟,IGBT炸，整流子炸,"IGBT炸裂,整流子炸裂"
"DR1燒壞,DC3微鼓包","DR1燒毀,DC3微鼓包",上電屏幕黑屏無顯示,上電無顯示,IGBT炸，整流子炸，DR58炸,"IGBT炸裂,整流子炸裂,DR58炸裂"
"DR1燒壞,DD1 PIN2與PIN3之間擊穿,DR4之間跳火","DR1燒毀,DD1,PIN2與PIN3之間擊穿,DR4之間跳火","上電後,無啓動",上電無顯示,IGBT炸，整流子擊穿,"IGBT炸裂,整流子擊穿"
"DR1燒壞,DD1擊穿","DR1燒毀,DD1擊穿",上電後就燒了,上電後就燒了,IGBT炸，輸入銅箔熔斷,"IGBT炸裂,輸入銅箔熔斷"
DR27外力損壞,DR27外力損壞,上電重啓,上電重啓,IGBT炸裂,IGBT炸裂
DR28 Open,"DR28,OPEN",上電面板不亮,上電無顯示,IGBT炸毀，DR58炸,"IGBT炸裂,DR58炸裂"
DR28、DRLY1有過熱痕迹,"DR28,DRLY1有過熱痕迹",上電面板卡住,上電無顯示,IGBT控制側 PIN20(COM)對PIN18(VFO) Open,IGBT控制側PIN20(COM)對PIN18(VFO) OPEN
"DR28,DR58,IGBT損壞,上蓋缺失（維修中心李井初拆除)","DR28,DR58,IGBT損壞,上蓋缺失（維修中心李井初拆除)","上電面板有顯示,但機器一直重啓","上電面板有顯示,但機器一直重啓",IGBT控制側PIN20（COM)對PIN12(VCCH)低阻抗,IGBT控制側PIN20(COM)對PIN12(VCCH)低阻抗
