合併正規化值,正規化
"DR58炸,IGBT擊穿,DZD6擊穿,整流子DD22擊穿,附近銅箔燒斷","DR58炸裂,IGBT擊穿,DZD6擊穿,整流子DD22擊穿,附近銅箔燒毀斷"
"DR58炸,IGBT擊穿,剎車晶體擊穿,relay壞,軟起電阻開路","DR58炸裂,IGBT擊穿,刹車晶體擊穿,relay壞,軟起電阻開路"
"DR58炸,IGBT擊穿,整流子打火","DR58炸裂,IGBT擊穿,整流子打火"
"DR58炸,IGBT擊穿,整流子擊穿","DR58炸裂,IGBT擊穿,整流子擊穿"
"DR58炸,IGBT擊穿,整流子擊穿,RS相銅箔炸,DR24燒","DR58炸裂,IGBT擊穿,整流子擊穿,RS相銅箔炸裂,DR24燒毀"
"DR58炸,IGBT擊穿,整流子擊穿,剎車晶體擊穿","DR58炸裂,IGBT擊穿,整流子擊穿,剎車晶體擊穿"
"DR58炸,IGBT擊穿,軟起電阻炸","DR58炸裂,IGBT擊穿,軟起電阻炸裂"
"DR58炸,IGBT炸","DR58炸裂,IGBT炸裂"
"DR58炸,IGBT炸,DC17電容鼓包","DR58炸裂,IGBT炸裂,DC17電容鼓包"
"DR58炸,IGBT炸,DD22,DD23,DQ2擊穿","DR58炸裂,IGBT炸裂,DD22,DD23,DQ2擊穿"
"DR58炸,IGBT炸,DD22,DD23擊穿","DR58炸裂,IGBT炸裂,DD22,DD23擊穿"
"DR58炸,IGBT炸,DD22/DD23擊穿","DR58炸裂,IGBT炸裂,DD22,DD23擊穿"
"DR58炸,IGBT炸,DD22/DD23擊穿,DU2/DU5擊穿","DR58炸裂,IGBT炸裂,DD22,DD23擊穿,DU2,DU5擊穿"
"DR58炸,IGBT炸,DD22擊穿","DR58炸裂,IGBT炸裂,DD22擊穿"
"DR58炸,IGBT炸,DQ2擊穿","DR58炸裂,IGBT炸裂,DR28燒毀"
"DR58炸,IGBT炸,DR28燒","DR58炸裂,IGBT炸裂,DR28燒毀"
"DR58炸,IGBT炸,DR28燒壞","DR58炸裂,IGBT炸裂,DR28燒毀"
"DR58炸,IGBT炸,DU2擊穿","DR58炸裂,IGBT炸裂,DU2擊穿"
"DR58炸,IGBT炸,DU2擊穿,DR300,DR57,DC64也有燒壞","DR58炸裂,IGBT炸裂,DU2擊穿,DR300,DR57,DC64也有燒毀"
"DR58炸,IGBT炸,DU2擊穿,DR300燒,DD22擊穿","DR58炸裂,IGBT炸裂,DU2擊穿,DR300燒毀,DD22擊穿"
"DR58炸,IGBT炸,DU5擊穿,DU2擊穿","DR58炸裂,IGBT炸裂,DU5擊穿,DU2擊穿"
"DR58炸,IGBT炸,DU5燒","DR58炸裂,IGBT炸裂,DU5燒毀"
"DR58炸,IGBT炸,整流子DD22,DD23擊穿,DD22PIN與HSK之間跳火","DR58炸裂,IGBT炸裂,整流子DD22,DD23擊穿,DD22PIN與HSK之間跳火"
"DR58炸,IGBT炸,整流子DD22,DD23擊穿,銅箔翹皮,5VD_GD短路,V bus電壓偵測異常","DR58炸裂,IGBT炸裂,整流子DD22,DD23擊穿,銅箔翹皮,5VD_GDSHORT,V bUs電壓偵測異常"
"DR58炸,IGBT炸,整流子DD22擊穿","DR58炸裂,IGBT炸裂,整流子DD22擊穿"
"DR58炸,IGBT炸,整流子DD23,DD22擊穿,DU2擊穿","DR58炸裂,IGBT炸裂,整流子DD23,DD22擊穿,DU2擊穿"
"DR58炸,IGBT炸,整流子DD23炸,DD22擊穿,DR1 Open,DD1擊穿","DR58炸裂,IGBT炸裂,整流子DD23炸裂,DD22擊穿,DR1 OPEN,DD1擊穿"
"DR58炸,IGBT炸,整流子擊穿","DR58炸裂,IGBT炸裂,整流子擊穿"
"DR58炸,IGBT炸,整流子炸","DR58炸裂,IGBT炸裂,整流子炸裂"
"DR58炸,IGBT炸,面板顯示異常","DR58炸裂,IGBT炸裂,面板顯示異常"
"DR58炸,IGBT炸裂,DR28燒壞","DR58炸裂,IGBT炸裂裂,DR28燒毀"
"DR58炸,整流子擊穿,IGBT損壞","DR58炸裂,整流子擊穿,IGBT損壞"
"DR58炸,整流子擊穿,IGBT擊穿,銅箔炸,5VD_GD短路,L1L2上電無顯示","DR58炸裂,整流子擊穿,IGBT擊穿,銅箔炸裂,5VD_GD SHORT,L1L2上電無顯示"
"DR58炸,整流子擊穿,IGBT炸裂","DR58炸裂,整流子擊穿,IGBT炸裂"
"DR58炸,軟起電阻DR28過熱,IGBT P對UVW open,N對UVW短路,控制側壞","DR58炸裂,軟起電阻DR28過熱,IGBT,P對UVW,OPEN,N對UVW SHORT,控制側壞"
"DR58炸裂,IGBT,DD21,DD22擊穿","DR58炸裂裂,IGBT,DD21,DD22擊穿"
"DR58炸裂,IGBT炸,DC54與V相端子跳火","DR58炸裂,IGBT炸裂,DC54與V相端子跳火"
"DR58炸裂,IGBT炸裂,DD22/23 擊穿","DR58炸裂裂,IGBT炸裂裂,DD22擊穿,DD23 擊穿"
"DR58炸裂,IGBT炸裂,DD23 DD22 擊穿","DR58炸裂,IGBT炸裂,DD23,DD22,擊穿"
"DR58炸裂,IGBT炸裂,DD23 T處銅箔熔斷,T對P擊穿,DD22 RS對N擊穿","DR58炸裂,IGBT炸裂,DD23,T處銅箔熔斷,T對P擊穿,DD22,RS對N擊穿"
"DR58炸裂,IGBT炸裂,pin腳有打火痕跡","DR58炸裂,IGBT炸裂,PIN腳有打火痕跡"
"DR58炸裂,整流子DD23,DD22擊穿,IGBT 炸裂","DR58炸裂,整流子DD23,DD22擊穿,IGBT,炸裂"
"DR58燒,DD22,DD23擊穿,IGBT炸","DR58燒毀,DD22擊穿,DD23擊穿,IGBT炸裂"
"DR58燒,DD22擊穿,IGBT擊穿","DR58燒毀,DD22擊穿,IGBT擊穿"
"DR58燒壞,DR1 OPEN,R通道銅箔熔斷,IGBT銅底板燒穿,DD22,DD23擊穿","DR58燒毀,DR1,OPEN,R通道銅箔熔斷,IGBT銅底板燒毀穿,DD22,DD23擊穿"
"DR58燒壞,IGBT擊穿","DR58燒毀,IGBT擊穿"
"DR58燒毀,IGBT PIN腳熔斷","DR58燒毀,IGBT,PIN脚熔斷"
"DR58燒毀,附近銅箔損壞,IGBT炸,DQ2擊穿,DD22和DD23擊穿","DR58燒毀,附近銅箔損壞,IGBT炸裂,DQ2擊穿,DD22和DD23擊穿"
"DR58燒毀,附近銅箔翹皮,IGBT炸,DQ2擊穿","DR58燒毀,附近銅箔翹皮,IGBT炸裂,DQ2擊穿"
"DR58燒毀,附近銅箔翹皮,IGBT炸,DQ2擊穿,MODE鍵斷裂","DR58燒毀,附近銅箔翹皮,IGBT炸裂,DQ2擊穿,MODE鍵斷裂"
"DR58開路,IGBT壞,DZD4燒壞,DZD7短路,驅動光耦DPH10 PIN4~PIN6短路。","DR58開路,IGBT壞,DZD4燒毀,DZD7 SHORT,驅動光耦DPH10 PIN4~PIN6 SHORT"
"DR58阻抗值變大,本體存在跳火痕跡,IGBT UVW對N short,剎車晶體C-E量測219kohm,異常正常應為Mohm,軟啟電阻燒壞,relay受熱外殼熱熔","DR58,DR45炸裂,軟起電阻DR28燒毀,IGBT炸裂"
"DR58阻抗值變大,本體存在跳火痕跡,IGBT UVW對N short,銅箔翹起","DR58阻抗值變大,本體存在跳火痕跡,IGBT,UVW對N,SHORT,剎車晶體C~E量測219kohm,異常正常應為Mohm,軟啟電阻燒毀,relay受熱外殼熱熔"
"DR58電阻炸,IGBT擊穿,DD22,DD23整流擊穿","DR58電阻炸裂,IGBT擊穿,DD22擊穿,DD23整流擊穿"
"DR58電阻炸,IGBT擊穿,DD22整流擊穿","DR58電阻炸裂,IGBT擊穿,DD22擊穿"
"DR58電阻炸,IGBT擊穿,DD22整流擊穿,DR37,DD14,DZD3,DC41損壞","DR58電阻炸裂,IGBT擊穿,DD22整流擊穿,DR37,DD14,DZD3,DC41損壞"
"DR58電阻炸,IGBT擊穿,DU2,DU5短路","DR58電阻炸裂,IGBT擊穿,DU2,DU5 SHORT"
"DR58電阻炸,IGBT擊穿,軟起電阻過熱","DR58電阻炸裂,IGBT擊穿,軟起電阻過熱"
DRLY2處錫渣短路,DRLY2處錫渣SHORT
"DSP,L1,軟起電阻燒壞,剎車電阻開路","DSP,L1,軟起電阻燒毀,刹車電阻開路"
DSP-dsp_USB0_DM對GND低阻抗65Ω,DSP~dsP_USB0_DM對GND低阻抗65Ω
"DSP損壞/ZD20,R202,R203,R204燒,U25短路","DSP損壞,ZD20,R202,R203,R204燒毀,U25 SHORT"
"DSP材料不良產線維修未攔截,二次流出","DSP材料不良産線維修未攔截,二次流出"
DSP燒壞,DSP燒毀
"DSP燒壞,U24燒壞","DSP燒毀,U24燒毀"
DSP短路,DSP SHORT
"DT1 pin4與PIN5之間open,DU2 Vout與GND擊穿","DT1,PIN4與PIN5之間OPEN,DU2,VoUt與GND擊穿"
"DT1打火,DR1開裂損壞,DD1擊穿","DT1打火,DR1開裂,DD1擊穿"
"DT1變壓器鐵屑侵入,PIN1,PIN2,PIN3短路造成無顯示","DT1變壓器鐵屑侵入,PIN1,PIN2,PIN3 SHORT造成無顯示"
"DTB1（NUVW）端子粘膠,DR28燒,IGBT單體量測PN對VW短路,控制側損壞","DTB1（NUVW）端子粘膠,DR28燒毀,IGBT單體量測PN對VW SHORT,控制側損壞"
"DU1擊穿,DD1擊穿,DR1開裂損壞,DT1打火,IGBT控制側擊穿,剎車晶體擊穿,銅箔翹皮","DU1擊穿,DD1擊穿,DR1開裂損壞,DT1打火,IGBT控制側擊穿,刹車晶體擊穿,銅箔翹皮"
"DU1擊穿,DR4打火,DT1 打火,DR1燒壞","DU1擊穿,DR4打火,DT1 打火,DR1燒毀"
"DU1擊穿,DR4打火,DT1 打火,DR1燒壞,DD1擊穿","DU1擊穿,DR4打火,DT1 打火,DR1燒毀,DD1擊穿"
"DU1擊穿炸裂,DR4打火,DT1 pin2熔斷","DU1擊穿,DR4打火,DT1 PIN2熔斷"
"DU1本體炸裂,導熱Rubber上有異物","DU1本體炸裂,導熱RUbber上有異物"
DU1炸裂,DU1炸裂裂
"DU1燒壞,變壓器有打火痕跡,導熱rubber上有異物","DU1燒毀,變壓器有打火痕跡,導熱rUbber上有異物"
DU2短路,DU2SHORT
"DVAR1損壞,R相銅箔炸斷,DD22擊穿,DPM1損壞","DVAR1損壞,R相銅箔炸裂斷,DD22擊穿,DPM1損壞"
DVAR1燒壞,DVAR1燒毀
DZD13 diode反向漏電,"DZD13,diode反向漏電"
DZD4燒壞擊穿,DZD4擊穿
DZD6燒,DZD6燒毀
"DZD9異常發熱,量測兩端電壓為7.5V（正常為15V）","DZD9異常發熱,量測兩端電壓爲7.5V（正常爲15V）"
"Dvar1炸裂,DC3鼓包,DR28炸,DC52鼓包","Dvar1炸裂,DC3鼓包,DR28炸裂,DC52鼓包"
ETHERCAT ID錯誤問題,"ETHERCAT,ID錯誤問題"
Encoder ground trace熔斷,"Encoder,groUnd,trace熔斷"
EtherCAT通訊異常,ETHERCAT通訊異常
FPGA燒壞,FPGA燒毀
GBT PIN腳上有一根導電的金屬絲,"GBT,PIN腳上有一根導電的金屬絲"
IC輸出腳位過電壓擊穿,IC輸出脚位過電壓擊穿
IGBT +15V擊穿,"IGBT,+15V擊穿"
IGBT 16Pin 漏焊,"IGBT,16PIN漏焊"
IGBT 16pin(COM)對8pin(VCCH) 擊穿,"IGBT,16PIN(COM)對8PIN(VCCH),擊穿"
IGBT 20pin(COM)對17pin(VCCL)短路,IGBT 20PIN(COM)對17PIN(VCCL)SHORT
IGBT N PIN腳漏焊,"IGBT,N,PIN脚漏焊"
IGBT N對U短路,"IGBT,N對U SHORT"
IGBT N腳打火,IGBT N脚打火
IGBT PIN11-PIN12金屬屑短路,"IGBT,PIN11,PIN12金屬屑SHORT"
"IGBT PIN12,PIN13錫短,導致電壓偵測異常,伺服上電報警AL09F","IGBT,PIN12,PIN13錫短,導致電壓偵測異常,伺服上電報警AL09F"
IGBT PIN12-13之間夾錫渣,"IGBT,PIN12~13之間夾錫渣"
"IGBT PIN19漏焊,IGBT 19PIN與OC偵測相關,觸發OC動作","IGBT,PIN19漏焊,IGBT,19PIN與OC偵測相關,觸發OC動作"
IGBT PIN3漏焊,"IGBT,PIN3漏焊"
IGBT PIN3腳漏焊,"IGBT,PIN3漏焊"
IGBT PIN腳漏焊,"IGBT,PIN脚漏焊"
IGBT PIN腳與底部有金屬導電異物,"IGBT,PIN脚與底部有金屬導電异物"
IGBT PIN腳鐵屑污染,"IGBT,PIN脚鐵屑污染"
IGBT Pin19擊穿,"IGBT,PIN19擊穿"
IGBT Pin3斷,"IGBT,PIN3斷"
IGBT Pin7擊穿,IGBT PIN7擊穿
"IGBT P對U open,控制側損壞","IGBT,P對U,OPEN,控制側損壞"
IGBT P對UV相擊穿 DR58炸,"IGBT,P對UV相擊穿,DR58炸裂"
IGBT P對U短路,"IGBT,P對U SHORT"
IGBT P點打火,"IGBT,P點打火"
"IGBT P點打火,對Uopen,控制側損壞","IGBT,P點打火,對UOPEN,控制側損壞"
IGBT UVW上下橋擊穿,"IGBT,UVW上下橋擊穿"
"IGBT UVW上橋OPEN,下橋擊穿,整流子RS對N 擊穿,T腳燒斷,DR58炸","IGBT,UVW上橋OPEN,下橋擊穿,整流子RS對N,擊穿,T脚燒毀斷,DR58炸裂"
IGBT UVW上橋擊穿,"IGBT,UVW上橋擊穿"
"IGBT UVW上橋擊穿,W下橋open,整流子RS對P擊穿,DR58炸","IGBT,UVW上橋擊穿,W下橋OPEN,整流子RS對P擊穿,DR58炸裂"
IGBT UVW下橋擊穿,"IGBT,UVW下橋擊穿"
"IGBT UVW下橋擊穿,UW上橋擊,V上橋開路","IGBT,UVW下橋擊穿,UW上橋擊,V上橋開路"
IGBT UVW對N short,IGBT UVW對N SHORT
IGBT UV上下橋擊穿,"IGBT,UV上下橋擊穿"
"IGBT UV上下臂擊穿,DR28損壞","IGBT,UV上下臂擊穿,DR28損壞"
"IGBT UV上橋擊穿,DQ2擊穿,DR28燒,剎車電阻開路","IGBT,UV上橋擊穿,DQ2擊穿,DR28燒毀,刹車電阻開路"
IGBT UV對P短路,"IGBT,UV對P SHORT"
"IGBT UV對P短路,UW對N短路","IGBT,UV對P SHORT,UW對N SHORT"
IGBT UV相下橋擊穿 DR58炸,"IGBT,UV相下橋擊穿,DR58炸裂"
IGBT UW上下橋擊穿,"IGBT,UW上下橋擊穿"
"IGBT UW上下橋擊穿,V上橋擊","IGBT,UW上下橋擊穿,V上橋擊穿"
IGBT UW上橋擊穿,"IGBT,UW上橋擊穿"
"IGBT UW對P擊穿,整流子RS對P擊穿","IGBT,UW對P擊穿,整流子RS對P擊穿"
IGBT U上橋擊穿,"IGBT,U上橋擊穿"
"IGBT U上橋擊穿,DQ2擊穿,回生電阻open","IGBT,U上橋擊穿,DQ2擊穿,回生電阻OPEN"
"IGBT U上橋擊穿,DR28燒開路","IGBT,U上橋擊穿,DR28燒毀開路"
"IGBT U上橋擊穿,軟起燒壞","IGBT U上橋擊穿,軟起燒毀"
IGBT U上橋短路,"IGBT,U上橋SHORT"
IGBT U下橋擊穿,"IGBT,U下橋擊穿"
"IGBT U下橋擊穿,PR擊穿,DR58炸","IGBT,U下橋擊穿,PR擊穿,DR58炸裂"
IGBT U和W上下橋短路,"IGBT,U和W上下橋SHORT"
"IGBT U對P open,銅箔燒壞","IGBT,U對P,OPEN,銅箔燒毀"
IGBT U對P擊穿,"IGBT,U對P擊穿"
"IGBT U對P擊穿,整流子DD22,DD23擊穿","IGBT,U對P擊穿,整流子DD22,DD23擊穿"
IGBT U對P相OPEN,"IGBT,U對P,OPEN"
IGBT U對P短路,"IGBT,U對P SHORT"
"IGBT U對P短路,V對N短路","IGBT,U對P SHORT,V對N SHORT"
"IGBT U對P開路,W對P短路","IGBT,U對P開路,W對P SHORT"
IGBT U相上橋擊穿,"IGBT,U相上橋擊穿"
IGBT VW上下橋擊穿,"IGBT,V,W上下橋擊穿"
IGBT VW上橋擊穿,"IGBT,V,W上橋擊穿"
"IGBT VW下橋擊穿,U上橋擊穿","IGBT,V,W下橋擊穿,U上橋擊穿"
IGBT VW擊穿,"IGBT,VW擊穿"
IGBT V上上橋擊穿,"IGBT,V上橋擊穿"
"IGBT V上橋控制與com腳擊穿,與V相擊穿","IGBT,V上橋控制與com脚擊穿,與V相擊穿"
IGBT V上橋擊穿,"IGBT,V上橋擊穿"
"IGBT V上橋擊穿,整流子擊穿,DR45炸","IGBT,V上橋擊穿,整流子擊穿,DR45炸裂"
IGBT V上橋短路,"IGBT,V上橋SHORT"
"IGBT V對N擊穿,U對P擊穿,軟起電阻DR28 Open","IGBT,V對N擊穿,U對P擊穿,軟起電阻DR28 OPEN"
IGBT V對P擊穿,"IGBT,V對P擊穿"
IGBT V對P短路,"IGBT,V對P SHORT"
"IGBT V相&W相上橋擊穿,伺服內部進入水","IGBT,V,W上橋擊穿,伺服內部進入水"
IGBT V相下橋擊穿,"IGBT,V相下橋擊穿"
IGBT W上橋擊穿,"IGBT,W上橋擊穿"
IGBT W對P 短路,"IGBT,W對P SHORT"
IGBT W對P擊穿,"IGBT,W對P擊穿"
IGBT W對P短路,"IGBT,W對P SHORT"
IGBT W對P短路。,IGBT W對PSHORT
IGBT W相上橋擊穿,IGBT W上橋擊穿
IGBT W相下橋擊穿,IGBT W下橋擊穿
IGBT com腳打火,IGBT com脚打火
"IGBT com腳打火,銅箔燒壞","IGBT,com脚打火,銅箔燒毀"
IGBT pin13~19漏焊,"IGBT,PIN13~19漏焊"
IGBT pin13~21漏焊,"IGBT,PIN13~21漏焊"
IGBT pin19漏焊,IGBT PIN19漏焊
"IGBT pin20,21漏焊","IGBT PIN20,21漏焊"
IGBT pin20~21漏焊,"IGBT,PIN20~21漏焊"
IGBT pin22 V相下橋E極漏焊,IGBT PIN22 V相下橋E極漏焊
"IGBT pin26（W)漏焊,背面炸裂","IGBT PIN26（W)漏焊,背面炸裂裂"
IGBT pin3 對pin13擊穿,IGBT PIN3 對PIN13擊穿
IGBT pin3和pin5漏焊,"IGBT,PIN3和PIN5漏焊"
IGBT pin上粘錫絲,IGBT PIN上黏錫絲
IGBT pin腳上有錫渣,IGBT PIN上黏錫絲
IGBT pin腳錫短,"IGBT,PIN腳錫短"
IGBT u-p擊穿,IGBT U~P擊穿
IGBT v對p擊穿,"IGBT,V對P擊穿"
IGBT 控制側損壞,"IGBT,控制側損壞"
IGBT 損壞,"IGBT,損壞"
IGBT 擊穿,"IGBT,擊穿"
"IGBT 擊穿,DR28損壞","IGBT,擊穿,DR28損壞"
IGBT 整流子及DR58損壞,"IGBT,整流子及DR58損壞"
IGBT 本體炸,IGBT 本體炸裂
"IGBT 炸,pin腳有打火","IGBT 炸裂,PIN腳有打火"
IGBT 碳化溢錫,"IGBT,碳化溢錫"
IGBT 腳壓彎損傷,"IGBT,脚壓彎損傷"
"IGBT 邊緣鎖裂,內部油污,com對PIN12特性異常","IGBT,邊緣鎖裂,內部油污,com對PIN12特性異常"
"IGBT&DR58損壞,DR28燒,內部有發現導電金屬片","IGBT,DR58損壞,DR28燒毀,內部有發現導電金屬片"
"IGBT,DD22擊穿","IGBT擊穿,DD22擊穿"
IGBT-16pinIN(LW)對17pin(VCCL)連錫,IGBT~16PININ(LW)對17PIN(VCCL)連錫
IGBT-U相pin腳漏焊,IGBT~U相PIN脚漏焊
IGBT-V相對P擊穿,"IGBT,V對P擊穿"
IGBT_pin20(COM)對pin7(VB(W))擊穿,IGBT_PIN20(COM)對PIN7(VB(W))擊穿
IGBT上下橋UW對P/N短路,IGBT上下橋UW對P/NSHORT
IGBT上下橋臂短炸機,IGBT上下橋臂短炸裂機
IGBT剎車晶體擊穿,IGBT刹車晶體擊穿
IGBT和DD22擊穿,"IGBT擊穿,DD22擊穿"
IGBT壞,IGBT異常
IGBT控制側 pin20(COM)對pin18(VFO) Open,IGBT控制側PIN20(COM)對PIN18(VFO) OPEN
IGBT控制側Pin20(COM)對pin18(VFO)低阻抗,IGBT控制側PIN20(COM)對PIN18(VFO)低阻抗
IGBT控制側pin20（COM)對pin12(VCCH)低阻抗,IGBT控制側PIN20（COM)對PIN12(VCCH)低阻抗
"IGBT損壞,DD22整流子損壞,DR300電阻燒,DPH7光耦炸","IGBT損壞,DD22整流子損壞,DR300電阻燒毀,DPH7光耦炸裂"
"IGBT損壞,DD22特性異常,軟起電阻DR28燒壞整流子與VARISTOR相連銅箔熔斷","IGBT損壞,DD22特性異常,軟起電阻DR28燒毀整流子與VARISTOR相連銅箔熔斷"
"IGBT損壞,DR58炸","IGBT損壞,DR58炸裂"
"IGBT損壞,DR58炸,DQ2擊穿","IGBT損壞,DR58炸裂,DQ2擊穿"
"IGBT損壞,DR58炸,變壓器底部打火,DU1損壞（BP對GND阻抗偏低129.7kΩ）","IGBT損壞,DR58炸裂,變壓器底部打火,DU1損壞（BP對GND阻抗偏低129.7kΩ）"
"IGBT損壞,軟起電阻DR28open","IGBT損壞,軟起電阻DR28OPEN"
IGBT損壞伺服內部有金屬導電異物,IGBT損壞伺服內部有金屬導電异物
IGBT擊穿 U對P相擊穿,"IGBT擊穿,U對P相擊穿"
IGBT擊穿 整流子擊穿 DR58炸,"IGBT擊穿,整流子擊穿,DR58炸裂"
IGBT擊穿 軟起電阻燒壞,"IGBT擊穿,軟起電阻燒毀"
"IGBT擊穿,DD22擊穿,DR28燒,DZD8擊穿,DVAR1pin斷","IGBT擊穿,DD22擊穿,DR28燒毀,DZD8擊穿,DVAR1PIN斷"
"IGBT擊穿,DD22擊穿,控制板無顯示燒黑,電源板RST端子PIN燒壞","IGBT擊穿,DD22擊穿,控制板無顯示燒毀黑,電源板RST端子PIN燒毀"
"IGBT擊穿,DPH9pin腳短路,DPH16pin腳短路","IGBT擊穿,DPH9PIN脚SHORT,DPH16PIN脚SHORT"
"IGBT擊穿,DR28燒","IGBT擊穿,DR28燒毀"
"IGBT擊穿,DR52,DR58燒","IGBT擊穿,DR52,DR58燒毀"
"IGBT擊穿,DR57,DR58炸","IGBT擊穿,DR57,DR58炸裂"
"IGBT擊穿,DR58炸","IGBT擊穿,DR58炸裂"
"IGBT擊穿,R相端子螺絲滑牙,端子蓋脫落","IGBT擊穿,R端子螺絲滑牙,端子蓋脫落"
"IGBT擊穿,剎車晶體DQ2燒壞,電容DC17鼓包,DR300燒壞","IGBT擊穿,刹車晶體DQ2燒毀,電容DC17鼓包,DR300燒毀"
"IGBT擊穿,剎車晶體燒壞","IGBT擊穿,刹車晶體燒毀"
"IGBT擊穿,導熱Rubber上有異物","IGBT擊穿,導熱RUbber上有異物"
"IGBT擊穿,整流子擊穿,R相銅箔炸,軟起電阻燒","IGBT擊穿,整流子擊穿,R相銅箔炸裂,軟起電阻燒毀"
"IGBT擊穿,軟起電阻炸,RELAY燒","IGBT擊穿,軟起電阻炸裂,RELAY燒毀"
"IGBT擊穿,軟起電阻燒壞","IGBT擊穿,軟起電阻燒毀"
"IGBT擊穿,金屬絲污染","IGBT擊穿,有污染"
"IGBT模塊損壞,UVW對P/N之間短路,六橋臂均擊穿,PCB走綫已露出,DR58損壞","IGBT模塊損壞,UVW對P,N之間SHORT,六橋臂均擊穿,PCB走線已露出,DR58損壞"
IGBT漏焊導致IGBT U上橋擊穿,"IGBT漏焊導致IGBT,U上橋擊穿"
"IGBT漏鎖螺絲,DR58損壞,IGBT UVW上下橋擊穿","IGBT漏鎖螺絲,DR58損壞,IGBT,UVW上下橋擊穿"
"IGBT漏鎖螺絲,DR58損壞,IGBT UW上下橋擊穿","IGBT漏鎖螺絲,DR58損壞,IGBT,UW上下橋擊穿"
IGBT炸,IGBT炸裂
IGBT炸 DR58炸,"IGBT炸裂,DR58炸裂"
IGBT炸 DR58炸 整流子擊穿 軟起燒壞,"IGBT炸裂,DR58炸裂,整流子擊穿,軟起燒毀"
"IGBT炸 上橋斷,U對N 短","IGBT炸裂,上橋斷,U對N,短"
"IGBT炸,C/B無顯示","IGBT炸裂,C,B無顯示"
"IGBT炸,DD22擊穿","IGBT炸裂,DD22擊穿"
"IGBT炸,DD22擊穿,DR28燒壞","IGBT炸裂,DD22擊穿,DR28燒毀"
"IGBT炸,DD22擊穿,DR28燒壞,DZD8擊穿","IGBT炸裂,DD22擊穿,DR28燒毀,DZD8擊穿"
"IGBT炸,DD22擊穿,R相銅箔炸斷","IGBT炸裂,DD22擊穿,R相銅箔炸裂斷"
"IGBT炸,DQ2和DZD8擊穿","IGBT炸裂,DQ2和DZD8擊穿"
"IGBT炸,DR28燒","IGBT炸裂,DR28燒毀"
"IGBT炸,DR28阻值OPEN","IGBT炸裂,DR28阻值OPEN"
"IGBT炸,DR42炸,DD22擊穿","IGBT炸裂,DR42炸裂,DD22擊穿"
"IGBT炸,DR4打火,軟起燒","IGBT炸裂,DR4打火,軟起燒毀"
"IGBT炸,DR58,DR28燒燬","IGBT炸裂,DR58,DR28燒毀"
"IGBT炸,DR58炸","IGBT炸裂,DR58炸裂"
"IGBT炸,DR58炸 DD23整流子處跳火,DD23擊穿","IGBT炸裂,DR58炸裂,DD23整流子處跳火,DD23擊穿"
"IGBT炸,DR58炸,DD22擊穿","IGBT炸裂,DR58炸裂,DD22擊穿"
"IGBT炸,DR58炸,剎車晶體擊穿,銅箔燒壞","IGBT炸裂,DR58炸裂,剎車晶體擊穿,銅箔燒毀"
"IGBT炸,DR58無損壞,AB機","IGBT炸裂,DR58無損壞,AB機"
"IGBT炸,DR58燒,DQ2擊穿","IGBT炸裂,DR58燒毀,DQ2擊穿"
"IGBT炸,DR58燒斷,附近銅箔損壞","IGBT炸裂,DR58燒毀,附近銅箔損壞"
"IGBT炸,DU5 GND對VOUT 擊穿","IGBT炸裂,DU5 GND對V OUT 擊穿"
"IGBT炸,DU5 GND對VOUT 擊穿,DR58無損壞","IGBT炸裂,DU5,GND對VOUT,擊穿,DR58無損壞"
"IGBT炸,DU5過熱,DPH16擊穿","IGBT炸裂,DU5過熱,DPH16擊穿"
"IGBT炸,整流子擊穿","IGBT炸裂,整流子擊穿"
"IGBT炸,整流子擊穿,DR45炸,銅箔炸","IGBT炸裂,整流子擊穿,DR45炸裂,銅箔炸裂"
"IGBT炸,整流子擊穿,DR58炸","IGBT炸裂,整流子擊穿,DR58炸裂"
"IGBT炸,整流子炸","IGBT炸裂,整流子炸裂"
"IGBT炸,整流子炸,DR58炸","IGBT炸裂,整流子炸裂,DR58炸裂"
"IGBT炸,軟起燒壞,DR58炸","IGBT炸裂,軟起燒毀,DR58炸裂"
"IGBT炸,輸入銅箔熔斷","IGBT炸裂,輸入銅箔熔斷"
"IGBT炸毀,DR58炸","IGBT炸裂毀,DR58炸裂"
IGBT炸表面有過熱痕跡,IGBT炸裂表面有過熱痕迹
IGBT短路,IGBT SHORT
IGBT過流損壞,IGBT損壞
IGBT過熱報警,IGBT過熱
"IGBT鐳射焊錫碳化,功能測試正常。","IGBT鐳射焊錫碳化,功能測試正常"
IO壞,I/O異常
IO無信號,I/O異常
IO異常,I/O異常
"IO點燒了,接錯線,5V輸入結成24V的",I/O異常
"IPM pin9,pin10引腳粘連焊錫絲,上電報警AL006","IPM PIN9,PIN10引脚粘連焊錫絲,上電報警AL006"
"IPM裂痕,DR58 DR57 DC64燒毀","IPM裂痕,DR58,DR57,DC64燒毀"
J10 17pin退pin,J10 17PIN退PIN
J10 pin1退pin,J10 PIN1退PIN
J10 pin1退pin導致第1位A管子缺筆畫,J10 PIN1退PIN導致第1位A管子缺筆劃
J10 pin4與pin 6短路,J10 PIN4與PIN 6SHORT
J10 外力損壞,J10外力損壞
J10 焊錫不良導致缺筆畫,J10 焊錫不良導致筆劃
J10 退pin導致七段顯示器缺筆畫,J10 退PIN導致+F521段顯示器缺筆劃
